,descripcion,nombre,partido,instagram,facebook,linkedin,tiktok,web,twitter,Circunscripción,Grado de estudio,Profesión,Cuatrienio,Fecha de nacimiento,Edad,Lugar de nacimiento,Género,Whatsapp,Oficina,Teléfono Oficina,Correo Electrónico,YouTube
44,"Abogada, especialista en derecho tributario y derecho administrativo de la universidad del Rosario, especialista en gerencia de proyectos de la universidad de Sucre y magister en administración de empresas y liderazgo de la universidad CEU San Pablo de Madrid – España.Empresaria exitosa, en 2020 asumió como gestora social del departamento de Sucre y su gestión mereció el reconocimiento de la alta consejería presidencial para la niñez y la adolescencia y la corporación juego y niñez por su compromiso con la estrategia nacional “ crianza amorosa + juego “ enfocada en sensibilizar a las comunidades sobre el cuidado de la niñez y la lucha contra la violencia contra niños, niñas y adolescentes del país.Casada y madre de tres hijos.https://notisincelejo.com.co/especial-elecciones2022-quien-es-quien-karina-espinosa-oliver-candidata-al-senado/",Karina Espinosa Oliver,Liberal Colombiano,https://www.instagram.com/karyespinosaoliver/?hl=es-la,https://www.facebook.com/karinaespinosaoliver,,,,https://twitter.com/Kespinosaoliver,Circunscripción Nacional en Sucre,Maestría,Abogado/a,2022 - 2026,27 de diciembre de 1979,43,Sincé,Femenino,,Edificio Nuevo del Congreso Of. 208,(57)(601) 3823000 EXT 3359,karina.espinosa@senado.gov.co,https://www.youtube.com/channel/UC7sOzUjBCQID9L7Lh9vdL7w
45,"Ingeniera industrial y magíster en pensamiento estratégico y prospectiva, cuenta con una larga trayectoria en administración pública, asumiendo cargos como la Secretaría General de la Gobernación de Boyacá, la Jefatura de gabinete departamental y su más reciente asesoría en la Corporación Autónoma Regional de Boyacá, entre otros.",Ana Carolina Espitia Jerez,Alianza Verde Centro Esperanza Coalición,https://www.instagram.com/caroespitiaj/?hl=es-la,https://www.facebook.com/carolinaespitiaj,,,,https://twitter.com/CaroEspitiaJ,Circunscripción Nacional en Boyacá,Maestría,Ingeniero/a,2022 - 2026,12 de noviembre de 1985,37,Villa de Leyva,Femenino,,,,,
46,Administrador de Empresas de la Universidad Autónoma del Caribe. Es hijo de la líder política Zunilda Daza de Farelo del Valle de Ariguaní.En el sector privado ha desarrollado las actividades comerciales propias y de la familia y hace parte de una sociedad en comandita.Es casado con Angélica María Murcia Trejos.,Carlos Mario Farelo Daza,Cambio Radical,,https://www.facebook.com/CarlosMFarelo,,,,https://twitter.com/carlosmfarelo?lang=es,Circunscripción Nacional en Cesar,Universitaria,Administrador/a de empresas,2022 - 2026,Invalid Date,Sin edad asignada,Ariguaní,Masculino,,426B Ed. Nuevo del Congreso,4325100 ext: 3467 - 3668,,
47,"Estudió Derecho en la Universidad de Medellín, donde fue dos veces representante de los estudiantes.https://www.alexflorez.co/quien-soy",Alex Xavier Flórez Hernández,Pacto Histórico Coalición,https://www.instagram.com/alexflorezh/?hl=es,https://www.facebook.com/alexflorezcol,,,,https://twitter.com/AlexFlorezH,Circunscripción Nacional en Bolívar,Universitaria,Abogado/a,2022 - 2026,19 de mayo de 1991,32,Cartagena,Masculino,,,,,
48,"Esposo y padre de 3 hijos. Químico farmacéutico de la Universidad del Atlántico, especialista en Marketing y magister en Desarrollo y gestión de empresas sociales.https://pedroflorez.com/?fbclid=IwAR08-bBtotAfxt-9GNIltK2qfXUfA58-AAENUoPcYC5ISxfwnJwGCmUB4bE#home",Pedro Hernando Flórez Porras,Pacto Histórico Coalición,https://www.instagram.com/pedrohflorez/?hl=es-la,https://www.facebook.com/pedroflorezp,https://www.linkedin.com/in/pedro-hernando-florez-porras-7533691b7/?originalSubdomain=co,,,https://twitter.com/pedrohflorez,Circunscripción Nacional en Atlántico,Maestría,Químico/a,2022 - 2026,11 de octubre de 1974,48,Sincelejo,Masculino,,"Capitolio Nacional, Piso 2",(57)(601) 3823000 EXT 5331,pedro.florez@senado.gov.co,
49,"Socióloga, Defensora de derechos humanos, Aspirante al Senado por la lista de la Decencia N.10, Legión de Honor República Francia y Robert Kennedy EEUU de DDHH. Fue elegida Parlamentaria Andina por Colombia en 2010, con la más alta votación individual. Dedicó su trabajo a la defensa de los derechos de la Madre Tierra, la protección de las culturas originarias y ancestrales, el reconocimiento y protección de los saberes colectivos, y la lucha contra las violencias a la mujer y el feminicidio.Tomado de: https://www.gloriaflorezschneider.com/perfil",Gloria Ines Florez Schneider,Pacto Histórico Coalición,,https://www.facebook.com/GloriaFlorezSchneider,,,,https://twitter.com/GloriaFlorezSI,Circunscripción Nacional en Distrito Capital,Universitaria,Sociólogo/a,2022 - 2026,9 de enero de 1962,61,Bucaramanga,Femenino,,,,,
50,"Administradora de empresas, especialista en mercadeo y magister en Administración de Empresas.Trabajó como directora del Departamento de Planeación de la Corporación Universitaria de Ciencias Empresariales, Educación y Salud, Corsalud.Tomado de: https://partidoliberal.org.co/PartidoLiberalSenadores2018/?id=56#gallery-14",Laura Ester Fortich Sánchez,Liberal Colombiano,,https://www.facebook.com/laurafortichsan,,,,https://twitter.com/laurafortichsan,Circunscripción Nacional en Bolívar,Maestría,Administrador/a de empresas,2022 - 2026,26 de febrero de 1986,37,Cartagena,Femenino,,315 Ed. Nuevo Congreso,382 3000 ext: 3345 - 3346 - 3407,,
51,"Conocido como Carlos Antonio Lozada. Militó en las filas de las FARC-EP por 39 años y actualmente es integrante del Consejo Político Nacional de la Fuerza Alternativa Revolucionaria del Común Farc, partido fundado tras la transformación de la guerrilla de las Fuerzas Armadas Revolucionarias de Colombia. Fue nombrado responsable de las Comunicaciones del Partido. En julio de 2015 asumió desde la subcomisión técnica para el fin del conflicto, la tarea de conducir a la guerrilla al fin de la rebelión armada, a dar el paso definitivo a la vida política legal. Fue integrante del Secretariado de las FARC-EP desde el 2010 y de los Comandos Urbanos como la Red Urbana Antonio Nariño.",Julián Gallo Cubillos,Comunes,,https://www.facebook.com/juliangallocubillos,,,,https://twitter.com/JGalloComunes,Circunscripción Nacional en Distrito Capital,Sin grado de estudio,Sin profesión,2022 - 2026,24 de marzo de 1961,62,Bogotá,Masculino,312 385 1713,208 B Edificio Nuevo del Congreso,382 3000 Ext 3089,,
52,"El economista y especialista en marketing y mercadeo Juan Pablo Gallo Maya, quien entre 1996 y 1998 fue el primer alcalde juvenil de la capital de Risaralda.Sacado de: http://ieu.unal.edu.co/en/medios/noticias-del-ieu/item/no-fui-un-mandatario-de-oficina-vivi-los-problemas-con-los-ciudadanos-juan-pablo-gallo-maya-exalcalde-de-pereira-segundo-con-mejor-percepcion-en-2019",Juan Pablo Gallo Maya,Liberal Colombiano,https://www.instagram.com/juanpablogallomaya/,https://www.facebook.com/JuanPabloGalloMaya,,,,https://twitter.com/JuanPabloGallo,Circunscripción Nacional en Risaralda,Universitaria,Economista,2022 - 2026,31 de enero de 1979,44,Pereira,Masculino,,,,,
53,"Este profesional en mercadeo y negocios de la Universidad Autónoma de Occidente volvió a demostrar su liderazgo y resistencia este año, cuando la intempestiva llegada la pandemia le impuso un nuevo desafío. Como presidente de la Asamblea acudió a la virtualidad para sacar adelante el Plan de Desarrollo del Valle, en medio de largas y extenuantes jornadas y una gran participación de los vallecaucanos. “Nunca habíamos tenido tantas personas inscritas y en los facebook live alcanzamos más de 13.300 personas, mas de 1000 interacciones y más de 4000 reproducciones de la transmisión”, explica. Juan Carlos Garcés,Sacado de: https://juancarlosgarcesrojas.org/juan-carlos-garces-rojas-el-diputado-mas-votado-del-pais/",Juan Carlos Garcés rojas,Partido de la U - Partido de la Unión por la Gente,https://www.instagram.com/garcesrojasjuanc/,https://www.facebook.com/GarcesRojasJuanC/,,,,https://twitter.com/GarcesRojasJuan,Circunscripción Nacional en Valle del Cauca,Universitaria,Mercadeo / Negocios Internacionales,2022 - 2026,22 de julio de 2022,Sin edad asignada,Cali,Masculino,,,,,
54,"Cucuteño, 31 años de edad, bachiller del Colegio Calasanz. Continuó sus estudios en Cambridge (Reino Unido) y Derecho en la Universidad Sergio Arboleda (Bogotá) y en la Universidad Libre de Colombia (Cúcuta).Concejal de Cúcuta período 2004 - 2007 a los 25 años, con la mayor votación joven para el Partido Conservador en el país.Presidente año 2005 del Directorio Nacional Conservador.Concejal de Cúcuta más joven en el período 2008 - 2011.Candidato al Directorio Nacional Conservador (2008).Fuente: http://bit.ly/lLcDPK",Juan Carlos García Gómez,Conservador Colombiano,,https://www.facebook.com/C10SenadoJuanCarlosGarcia,,,,https://twitter.com/unnortejoven,Circunscripción Nacional en Norte de Santander,Universitaria,Abogado/a,2022 - 2026,1 de enero de 1979,44,Cúcuta,Masculino,310 679 6105 / 314 461 0025,Capitolio Piso 3 Antigua Oficina de Administración,4325100 ext 5262 - 5265 - 5270,garcy23@hotmail.com,https://www.youtube.com/watch?v=KnHMBJasuLA
55,"Nacido en El Carmen de Bolívar, casado con Matilde Tolosa Sánchez, y padre de cuatro hijos, María del Rosario, Juliana, Sofía y Lidio Arturo Jr.Comunicador Social de profesión, político por convicción y músico de corazón, desde sus inicios como profesional se ha destacado por ser un líder en gestiones políticas, sociales y culturales, tanto en su municipio como en todo el Departamento de Bolívar.Sus primeras aproximaciones con la política fueron a nivel local en El Carmen de Bolívar donde en el año 1995 fue elegido Concejal Municipal. En el año 2000 fue elegido como Diputado de la Asamblea de Bolívar por el Partido Liberal. En el 2003 fue reelegido con una masiva votación, y en el 2006 presentó su renuncia para aspirar a la Cámara de Representantes, donde después de un cuatrienio, pasó al Senado de la República.Ha sido senador por dos periodos (2010-2014 y 2014-2018)Tomado de: https://partidoliberal.org.co/PartidoLiberalSenadores2018/?id=56#gallery-7",Lidio Arturo García Turbay,Liberal Colombiano,,https://www.facebook.com/Lidio-Garcia-Turbay-111383448151238,,,,https://twitter.com/Lidiosenado,Circunscripción Nacional en Bolívar,Universitaria,Comunicador/a social,2022 - 2026,10 de febrero de 1971,52,Carmen de Bolivar,Masculino,382 3319,301 Ed. Nuevo Congreso,382 3000 ext: 3034,lidio.garcia@camara.gov.co,https://www.youtube.com/watch?v=gdA7tT7PXNw
56,Estudió Comercio Exterior en Bogotá e hizo varios diplomados en Finanzas y Mercadeo.,Oscar Mauricio Giraldo Hernández,Conservador Colombiano,,https://www.facebook.com/mauriciogiraldosenador,,,,,Circunscripción Nacional en Meta,Universitaria,Internacionalista,2022 - 2026,20 de julio de 2022,Sin edad asignada,Granada,Masculino,,,,,
57,"José Alfredo Gnecco Zuleta, nació en Valledupar el 17 de Abril de 1976,ESTUDIOSEstudios Primarios: Colegio Gimnasio del Norte.Estudios secundarios: Hispanoamericano.Superiores: Tallahassee Comunity College Tallahassee, FLSanta Fe Comunity College Gainesville, FLEstudios básicos de administración de Empresas.Ha acumulado una productiva experiencia en la actividad privada especialmente en el campo del transporte, un componente fundamental en la competitividad de las regiones.Ha sido gerente de la empresa Gnecco Zuleta y Cia. y Presidente de la Asociación de Transportadores de la Costa Caribe.Fuente: http://bit.ly/mhW0Qf",José Alfredo Gnecco Zuleta,Partido de la U - Partido de la Unión por la Gente,,https://www.facebook.com/profile.php?id=100076972295728,,,,https://twitter.com/JoseAlfreGnecco,Circunscripción Nacional en Cesar,Universitaria,Administrador/a de empresas,2022 - 2026,17 de abril de 1976,47,Valledupar,Masculino,314 547 3306,335 Ed. Nuevo Congreso,382 3000 ext: 3184 - 3395,,https://www.youtube.com/channel/UCAysiAJDV5vYRvR-8ptn87w
58,"Abogado, especialista en Derecho Público de la Universidad del Norte con estudios en Gerencia Política y Gobernabilidad de la Universidad del Rosario.Inició su carrera política como edil de la localidad Norte de Barranquilla (2004 - 2007). Ex concejal de Barranquilla por dos períodos (2008 - 2011 y 2012 - 2013). En 2014 fue elegido representante a la Cámara por el Atlántico y representante de Colombia ante el Parlamento Andino.Militó en el partido Oxígeno Verde, con el que fue edil, pero en 2007 se pasó al liberalismo.Fuente: https://partidoliberal.org.co/PartidoLiberalSenadores2018/?id=56#gallery1http://lasillavacia.com/node/46721",Mauricio Gómez Amín,Liberal Colombiano,,https://www.facebook.com/mauriciogomezamin/,,,,https://twitter.com/MauricioGomezCO,Circunscripción Nacional en Atlántico,Especialización,Abogado/a,2022 - 2026,31 de marzo de 1982,41,Barranquilla,Masculino,3114156690,Capitolio 1 Piso,382 3000 ext: 5178 - 5179,,https://www.youtube.com/channel/UCSyTpWVzbFSiSmN3hZDNV5Q
59,"Psicólogo con énfasis clínico, especializándose en psicoterapia y abordaje del trauma complejo",Carlos Julio Gonzalez Villa,Cambio Radical,https://www.instagram.com/carlosjuliogv/?hl=es,https://www.facebook.com/carlosjuliogonzalezv,,,,https://twitter.com/CarlosJulioGV,Circunscripción Nacional en Huila,Universitaria,Psicólogo/a,2022 - 2026,27 de febrero de 1963,60,Bogotá,Masculino,3824012/4013/4045,,,,
60,Comunicador Social de la Universidad Pontificia Bolivariana. Especialista en Opinión Pública y Procesos Electorales de la Pontificia Universidad Javeriana.,Andres Felipe Guerra Hoyos,Centro Democrático,,https://www.facebook.com/andresguerraho,,,,https://twitter.com/andresguerraho,Circunscripción Nacional en Antioquia,Especialización,Comunicador/a social,2022 - 2026,Invalid Date,Sin edad asignada,Medellín,Masculino,,,,andres@contribuyendoconfianza.com,
61,"Ingeniero industrial de la Universidad Distrital FJC, Especialista en Servicios Públicos y Ambiente, Becario del Banco Interamericano de Desarrollo y actualmente Estudiante de Maestria -MDP- Uniandes.Exconcejal de Bogotá, Candidato a la Alcaldía de Bogotá 2011.",Carlos Eduardo Guevara Villabón,MIRA - Colombia Justa Libres,,https://www.facebook.com/carlosguevaramira,,,,https://twitter.com/carlos_guevara,Circunscripción Nacional en Distrito Capital,Maestría,Ingeniero/a,2022 - 2026,29 de enero de 1977,46,Bogotá,Masculino,3185895060,506 - 507 Ed. Nuevo Congreso,382 3000 ext: 3264 - 3265,,https://www.youtube.com/user/carloseduardoguevara
62,"Abogado de la Universidad de la Sabana con especialización en Opinión Pública y Mercadeo Político de la Universidad Javeriana.Realizó estudios de Seguridad y Defensa Nacional en la Escuela Superior de Guerra. Tienen diplomado en Liderazgo y Gobierno Municipal de la Universidad de la Sabana.Posee distintos seminarios como el de Sociedad, Gobierno y Fuerza Pública en Situaciones de Emergencia de la Escuela Superior de Guerra; Derechos Humanos y Derecho Internacional Humanitario de la Escuela Superior de Guerra; y el de Prevención y Seguridad Personal de la Organización de Estados Iberoamericanos O.E.I., entre otros.Fue director Nacional de la Escuela Superior de Administración Pública (Esap).Fuente: http://www.centrodemocratico.com/honorio-miguel-henriquez-pinedo/",Honorio Miguel Henríquez Pinedo,Centro Democrático,,https://www.facebook.com/honorio.henriquez,,,,https://twitter.com/honohenriquez,Circunscripción Nacional en Bolívar,Especialización,Abogado/a,2022 - 2026,Invalid Date,Sin edad asignada,Santa Marta,Masculino,,205B Ed. Nuevo Congreso,382 3000 ext: 3227 - 3248 - 3249,,
63,"Administradora Pública, especialista en Análisis de Políticas Públicas de la Universidad Nacional de Colombia, Magíster en Gerencia para el Desarrollo de la Universidad Externado de Colombia. Cuenta con amplios conocimientos y más de doce años de experiencia laboral en el sector público, en diversas áreas como planeación, participación ciudadana, desarrollo territorial y formulación de programas de gobierno, planes de desarrollo territoriales y proyectos de Ley.sacado de: http://www.teusaquillo.gov.co/noticias/posesion-nueva-alcaldesa-local-teusaquillo",Yuly Esmeralda Hernández Silva,Pacto Histórico Coalición,,https://www.facebook.com/esmeralda.h.silva,,,,https://twitter.com/EsmeHernandezSi,Circunscripción Nacional en Distrito Capital,Universitaria,Administrador/a público/a,2022 - 2026,1 de enero de 1986,37,Bogotá,Femenino,,,,,
64,Ingeniero civil de la Universidad Nacional,Rodolfo Hernández Suárez,Liga de gobernantes anticorrupción,https://www.instagram.com/ingrodolfohernandez/?hl=es,https://www.facebook.com/ing.rodolfohernandezsuarez,,,,https://twitter.com/ingrodolfohdez,Circunscripción Nacional en Santander,Universitaria,Ingeniero/a,2022 - 2026,26 de marzo de 1945,78,Piedecuesta,Masculino,,,,,
65,"Nació en Medellín el 12 de noviembre de 1973, hija de Frank Holguín (q.e.p.d) y Martha Moreno (q.e.p.d), hermana de María Marcela y Juan Sebastián. Reconocida como Mejor bachiller del colegio de la Universidad Pontificia Bolivariana. Es Comunicadora Social- Periodista de la Universidad Pontificia Bolivariana, egresada de la Maestría en Estudios Políticos con énfasis en economía y desarrollo de la misma universidad, egresada de la Maestría en Seguridad y Defensa Nacional de la Escuela Superior de Guerra. Cursó Política y estrategia de seguridad y defensa en el Centro de Estudios Hemisféricos de Seguridad y Defensa (CHDS) de la Universidad de Defensa en Washington y Terrorismo y contrainsurgencia en el mismo centro.Durante varios años fue docente de las universidades Pontificia Bolivariana y Eafit y conferencista internacional. Fue asesora de la Presidencia de la República de Colombia, durante el Gobierno del ex presidente Álvaro Uribe Vélez (2003- 2008, 2009- 2010); encargada de asuntos políticos de la Embajada de Colombia en México (2008- 2009); consultora de USAID en temas de seguridad y justicia, para iniciativa Mérida; asesora de la Presidencia de los Estados Unidos Mexicanos, durante el gobierno del ex presidente Felipe Calderón Hinojosa (2011- 2012). Consultora en seguridad en México y Argentina y Senadora por el Centro Democrático.Escribió la biografía del ex presidente Uribe, titulada “Uribe de carne y Hueso” de editorial Norma y fue la compiladora del texto “Del escritorio del Presidente”. En 2008 formó parte de la junta directiva del Instituto Tecnológico Metropolitano de Medellín –ITM. Fue reconocida en 2009 con la Medalla Coronel Guillermo Ferguson en el grado de Comendador de Presidencia de la República de Colombia y la Orden al Buen Ciudadano de la Policía Nacional de Colombia. En 2010 recibió un reconocimiento de la Federación Interamericana de Abogados- FI.Fuente: http://www.centrodemocratico.com/paola-andrea-holguin-moreno/",Paola Andrea Holguín Moreno,Centro Democrático,,https://www.facebook.com/paolaholguinm,,,,https://twitter.com/PaolaHolguin,Circunscripción Nacional en Antioquia,Maestría,Comunicador/a social,2022 - 2026,12 de noviembre de 1973,49,Medellín,Femenino,,703B Ed. Nuevo Congreso,382 3000 ext: 3315 - 3316 - 3753,,https://www.youtube.com/channel/UCycz_W2Scxgw9KWujeAClDg
66,"Abogada, especialista en derecho administrativo, gobierno municipal y gerente en servicios de salud. Ha dedicado toda su vida laboral al sector público, se define como una mujer trabajadora, disciplinada pero a la vez cercana a la comunidad y sensible a sus necesidades y problemáticas.- Personera delegada para la vigilancia de la contratación estatal de la ciudad de Cali- Jefe del Departamento seccional de Bienes y Servicios en el Instituto de Seguros Sociales- Subgerente Administrativa y financiera en la Empresa Social del Estado Antonio Nariño- Subgerente Administrativa y Financiera del Banco Agrario de Colombia- En el año 2011 fue elegida Concejal de Cali para el periodo 2012-2015, logrando la mayor votación de las mujeres en esta Corporación.- En enero de 2016 fue llamada a dirigir la Secretaría General de la Gobernación del Valle del Cauca.Como Parlamentaria hace parte de la Comisión Séptima encargada de temas relacionados al Sector Salud, Laboral, Mujeres, vivienda y deporte entre otros, además, es miembro de la Comisión de equidad de Género del Congreso de la República desde donde lidera importantes iniciativas en pro de la prevención y atención de las violencias a razón de género, fortalecer el empoderamiento y la participación de la mujer en la vida política y social del país.Tomado de: http://normahurtado.com/hoja-de-vida/",Norma Hurtado Sánchez,Partido de la U - Partido de la Unión por la Gente,,https://www.facebook.com/normahurtados/,,,,https://twitter.com/normahurtados,Circunscripción Nacional en Valle del Cauca,Especialización,Abogado/a,2022 - 2026,13 de octubre de 1969,53,Buga,Femenino,,422 - Ed. Nuevo del Congreso,4325100 ext: 3577,,
67,"Docente, abogada y especialista en Necesidades Educativas Especiales y líder sindical y social.",Sandra Yaneth Jaimes Cruz,Pacto Histórico Coalición,,https://www.facebook.com/SandraJaimesC/,,,,https://twitter.com/SandraJaimesC,Circunscripción Nacional en Santander,Especialización,Abogado/a,2022 - 2026,Invalid Date,Sin edad asignada,Charalá,Femenino,,,,,
68,Ingeniero electricista egresado de la Universidad del Valle. Titular de la Secretaria de Tránsito del municipio de Yumbo.Representante a la Cámara en 2010 y en 2014.,Carlos Abraham Jiménez López,Cambio Radical,,https://www.facebook.com/AbrahamJimenezL,,,,https://twitter.com/AbrahamJimenezL,Circunscripción Nacional en Valle del Cauca,Universitaria,Ingeniero/a,2022 - 2026,28 de abril de 1982,41,Yumbo,Masculino,310 439 3271,222 Ed. Nuevo Congreso,382 3000 ext: 3301 - 3302 - 3779,Cjimenez96@hotmail.com,https://www.youtube.com/channel/UCXXzsZwbFRBkPX1dUiI_KHw
69,"Abogado de la Universidad de Medellín, especialista en Contratación Estatal de la Universidad Externado de Colombia y aspirante a Magister en Gobierno y Políticas Públicas de la Universidad Externado de Colombia.En el plano profesional y laboral se ha desempeñado como Abogado Asesor en la Vicepresidencia de Transporte de Ecopetrol, cómo Secretario Privado y Secretario General de la Contaduría General de la Nación y cómo Asesor de la Secretaria de Hacienda del Departamento de Antioquía.Representante a la Cámara en dos periodos (2010-2014 y 2014-2018). Presenta su candidatura al Senado.",Juan Felipe Lemos Uribe,Partido de la U - Partido de la Unión por la Gente,,https://www.facebook.com/JFLemosU/,,,,https://twitter.com/JFLemosU,Circunscripción Nacional en Antioquia,Especialización,Abogado/a,2022 - 2026,12 de julio de 1977,45,Andes,Masculino,312 378 6220,322B Ed. Nuevo Congreso,382 3000 ext: 3364 - 3365,,https://www.youtube.com/watch?v=94PZ9uQlAMM
70,"Ex concejal y ex Alcalde de La Jagua de Ibirico, Cesar.",Didier Lobo Chinchilla,Cambio Radical,,https://www.facebook.com/DidierLoboSenador/,,,,https://twitter.com/DidierLobo_Ch,Circunscripción Nacional en Cesar,Especialización,Administrador/a de empresas,2022 - 2026,13 de octubre de 1971,51,Becerril,Masculino,,626B Ed. Nuevo Congreso,382 3000 ext: 3678 - 3679 - 3746,,https://www.youtube.com/channel/UCIMarsHt06pp_BTFZI9dAaA
71,"Conocida como Sandra Ramírez, viuda de Manuel Marulanda Vélez. Ingresó a la guerrilla a los 17 años. Venía de una familia santandereana dedicada al campo, sembrando caña, café y cacao. Se formó en la insurgencia como enfermera. Formó parte del equipo negociador de las FARC en los diálogos de La Habana.Tomado de: las2orillas http://bit.ly/2FtCBni",Sandra Ramírez Lobo Silva,Comunes,,https://www.facebook.com/SandraRamirezComunes,,,,https://twitter.com/SandraComunes,Circunscripción Nacional en Distrito Capital,Sin grado de estudio,Sin profesión,2022 - 2026,Invalid Date,Sin edad asignada,La Paz,Femenino,,703B Ed. Nuevo Congreso,382 3000 ext: 3702 - 3703 - 4103,,
72,"Abogado de la Universidad San Buenaventura con especializaciones en políticas públicas y administración de empresas sociales del Estado de las Universidades Javeriana y Jorge Tadeo Lozano.Congresista (Cámara de Representantes 2002 -2006 y Senado 2006-2010), (2010-2014)",Alexánder López Maya,Pacto Histórico Coalición,,https://www.facebook.com/pages/Alexander-Lopez-Maya/225524279865?ref=search&sid=xGi3UrHnt-iATqpLynb9Bw.2918452950..1,,,,https://twitter.com/AlexLopezMaya,Circunscripción Nacional en Valle del Cauca,Especialización,Abogado/a,2022 - 2026,Invalid Date,Sin edad asignada,Cali,Masculino,,Mez. Sur Ed. Nuevo Congreso,382 3000 ext: 3571 - 3716,alexander.lopez.maya@senado.gov.co,https://www.youtube.com/user/alexanderlopezmaya
73,"HARVARD UNIVERSITY – Cambridge, MA, EE.UU.
BA Magna cum Laude en Economía
Título: Economista, 1972
Matricula No. 20146 del Consejo Nacional Profesional de Economía
Ministerio de Educación, República de ColombiaUNIVERSIDAD DE LOS ANDES – Bogotá, Colombia
Facultad de Derecho
Título: Abogada, 1996
Tarjeta Profesional de Abogado No. 83774
Consejo Superior de la Judicatura
República de ColombiaUNIVERSIDAD DE SALAMANCA
Facultad de Derecho
Programa de doctorado en Derecho Financiero y Tributario
Suficiencia Investigadora con Diploma Propio de Estudios Avanzados
Candidata a doctora
2002Sacado de: https://claralopez.org/perfil/",Clara Eugenia López Obregón,Pacto Histórico Coalición,,https://www.facebook.com/ClaraLopezO,,,,https://twitter.com/ClaraLopezObre,Circunscripción Nacional en Distrito Capital,Doctorado,Economista,2022 - 2026,18 de julio de 2022,Sin edad asignada,Bogotá,Femenino,,,,,
74,"Bogotana, abogada de la Universidad de la Sabana y magister en Gerencia y Práctica del Desarrollo de la Universidad de los Andes. Fui Concejal de Bogotá (2011-2013); Consultora de Naciones Unidas coordinando la Mesa de Género de la Cooperación Internacional que articula programas de ONU y varias embajadas sobre acceso a la justicia de las mujeres y salud sexual y reproductiva (2009-2011); Alcaldesa local de Chapinero (2005- 2008); Asesora de dos senadores independientes, ambos de la comisión primera sobre asuntos constitucionales: Ingrid Betancourt (2000-2001) y Antonio Navarro Wolff (2001-2005).Trayectoria cívica. Vocera de las veedurías ciudadanas “La séptima se respeta” y “La ciclovía se respeta” activas desde 2010 sobre movilidad, uso de la bicicleta y recreación en la ciudad. Activista por la igualdad de las personas LGBT: Lesbianas, Gays, Bisexuales y Transgeneristas desde 2002. Fui vocera del Referendo contra la Corrupción con el que intentamos una reforma política, recogimos casi dos millones de firmas entre 2000 y 2001 en todo el país. Promuevo los derechos de las mujeres y realicé investigaciones sobre género y calidad de vida de las mujeres desde las ONG Sisma y Humanas en 2004 y 2008. Como estudiante de derecho fui voluntaria en Puerto Nariño-Amazonas con la ONG de jóvenes Opción Colombia. Ahí me desempeñé como Inspectora de Policía y asesora jurídica de la alcaldía municipal y del resguardo indígena en 1998. Participé en la veeduría ciudadana al proceso 8.000 en 1995 y 1996. Promoví el Proceso Pedagógico Voto Inteligente que incentivó el voto libre e informado en las elecciones locales de 1997.Trayectoria Electoral. En 2011 fui elegida concejal de Bogotá por Progresistas, movimiento ciudadano con firmas. Obtuve la tercera votación de la lista de 45 aspirantes que cuenta con una bancada de 8 concejales. Progresistas en 2013 se fusionó en la Alianza Verde. La elección en la alcaldía local de Chapinero no es por voto popular. Me designó el alcalde mayor de la terna que aprobó la Junta administradora local. La terna surgió del examen sobre la ciudad y administración pública que aplicó la Universidad Nacional. De 49 aspirantes en Chapinero, pasamos 9.Políticamente soy de centro-izquierda. Aunque vengo de una familia bipartidista he participado únicamente en procesos “independientes” de los partidos históricos. He intentado construir organización política con ideas de corte progresista. APC: “Hacia una alternativa política colectiva” proceso académico y cívico fue mi escuela fundamental de 1998 a 2001. Ahí conocí a las personas y equipos de trabajo con los que siento más afinidad y con los que después he trabajado, como Antanas Mockus, Antonio Navarro, Enrique Parejo, Sergio Fajardo y Carlos Vicente De Roux. Estoy convencida de la necesidad de más mujeres en la política, ya que podemos incidir en forma distinta en lo público y aún somos pocas. Fui Gerente Nacional de Movilización Ciudadana en la Campaña Mockus Presidente en 2010.Distinciones. He obtenido tres becas para formación política y profesional, dos en Estados Unidos y una en Chile que por fuerza mayor no pude utilizar. Fui galardonada como mejor funcionaria pública en el 2007 por la Mesa de Derechos Humanos de Bogotá. Fui Incluida entre los 30 líderes de 2013 por la Revista Semana (edición 1635), entre los 100 líderes de la sociedad del 2011 por la Revista Gerente (edición 165) y la Revista Cambio me incluyó en los 50 líderes del país en 2007 (edición 750)Estudios. Derecho en la Universidad de La Sabana (94 al 98). Becaria sobre gobierno local y estatal del Departamento de Estado de los Estados Unidos, Maryland (2010) y del Programa de Liderazgo del NDI, Instituto Nacional Demócrata, Washington (2004).Ver: http://angelicalozano.com/angelicalozano10/#sobreangelica",Angélica Lozano Correa,Alianza Verde Centro Esperanza Coalición,,https://www.facebook.com/angelicalozanocorrea,,,,https://twitter.com/AngelicaLozanoC,Circunscripción Nacional en Distrito Capital,Maestría,Abogado/a,2022 - 2026,7 de mayo de 1976,47,Bogotá,Femenino,3125302627,228 Ed. Nuevo Congreso,382 3000 ext: 3440 - 3441 - 3451,angelica.verde110@gmail.com,http://www.youtube.com/bogotaserespeta
